Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR26949323_1	25.75753043939379	21.0	150.0	9.090909090909092	301769160.0
SRR26949323_2	2.8049595357517205	24.0	150.0	18.181818181818183	301769160.0
SRR26949324_1	25.560818753248725	21.0	150.0	9.090909090909092	306429009.0
SRR26949324_2	2.766265911449551	24.0	150.0	18.181818181818183	306429009.0
SRR26949325_1	23.241871761611804	21.0	150.0	9.090909090909092	312614609.0
SRR26949325_2	18.219541624353354	24.0	150.0	18.181818181818183	312614609.0
SRR26949326_1	24.352509574188346	21.0	150.0	9.090909090909092	303255070.0
SRR26949326_2	18.52971826940066	24.0	150.0	18.181818181818183	303255070.0
SRR26949327_1	22.80975208994343	20.0	150.0	9.090909090909092	301841555.0
SRR26949327_2	16.8969857531757	23.0	150.0	18.181818181818183	301841555.0
SRR26949328_1	27.053981667590364	20.0	150.0	9.090909090909092	302272725.0
SRR26949328_2	3.6435716264516316	23.0	150.0	18.181818181818183	302272725.0
