Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR26949155_1	58.01421226805408	50.0	150.0	18.181818181818183	38448231.0
SRR26949155_2	55.82050197633322	50.0	150.0	18.181818181818183	38448231.0
SRR26949156_1	57.581132358328766	49.0	150.0	18.181818181818183	39082063.0
SRR26949156_2	56.4556302296236	49.0	150.0	18.181818181818183	39082063.0
SRR26949157_1	58.12333033335502	50.0	150.0	18.181818181818183	38802102.0
SRR26949157_2	56.440954387523675	50.0	150.0	18.181818181818183	38802102.0
SRR26949158_1	58.137599575983074	49.0	150.0	18.181818181818183	38837269.0
SRR26949158_2	56.56514402890957	49.0	150.0	18.181818181818183	38837269.0
SRR26949159_1	57.49559742087394	50.0	150.0	18.181818181818183	37406917.0
SRR26949159_2	55.78647475135727	49.0	150.0	18.181818181818183	37406917.0
SRR26949160_1	57.42021683125641	50.0	150.0	18.181818181818183	39025590.0
SRR26949160_2	55.756048542703404	50.0	150.0	18.181818181818183	39025590.0
