Module	Section	Sample Name	Source
FastQC	all_sections	SRR26949159_2	/home/jupyter/methylb/rndataset/fastqc_reports/SRR26949159_2_fastqc.zip
FastQC	all_sections	SRR26949160_1	/home/jupyter/methylb/rndataset/fastqc_reports/SRR26949160_1_fastqc.zip
FastQC	all_sections	SRR26949157_1	/home/jupyter/methylb/rndataset/fastqc_reports/SRR26949157_1_fastqc.zip
FastQC	all_sections	SRR26949155_1	/home/jupyter/methylb/rndataset/fastqc_reports/SRR26949155_1_fastqc.zip
FastQC	all_sections	SRR26949155_2	/home/jupyter/methylb/rndataset/fastqc_reports/SRR26949155_2_fastqc.zip
FastQC	all_sections	SRR26949160_2	/home/jupyter/methylb/rndataset/fastqc_reports/SRR26949160_2_fastqc.zip
FastQC	all_sections	SRR26949159_1	/home/jupyter/methylb/rndataset/fastqc_reports/SRR26949159_1_fastqc.zip
FastQC	all_sections	SRR26949157_2	/home/jupyter/methylb/rndataset/fastqc_reports/SRR26949157_2_fastqc.zip
FastQC	all_sections	SRR26949158_2	/home/jupyter/methylb/rndataset/fastqc_reports/SRR26949158_2_fastqc.zip
FastQC	all_sections	SRR26949158_1	/home/jupyter/methylb/rndataset/fastqc_reports/SRR26949158_1_fastqc.zip
FastQC	all_sections	SRR26949156_2	/home/jupyter/methylb/rndataset/fastqc_reports/SRR26949156_2_fastqc.zip
FastQC	all_sections	SRR26949156_1	/home/jupyter/methylb/rndataset/fastqc_reports/SRR26949156_1_fastqc.zip
